symbol,date,time,price,holding,change
VPB,2021-07-12,09:29:00,67.20,"91,800",-1.60
TCB,2021-07-12,09:29:00,55.10,"972,200",-1.50
HPG,2021-07-12,09:29:00,45.80,"544,000",-1.50
GVR,2021-07-12,09:29:00,30,"61,000",-1.60
ACB,2021-07-12,09:29:00,34,"201,000",-1.20
MBB,2021-07-12,09:29:00,31.15,"150,000",0.15
BSR,2021-07-12,09:29:00,17.10,"231,900",-0.70
STB,2021-07-12,09:29:00,28.55,"215,800",-0.55
SHB,2021-07-12,09:30:00,25.60,"203,400",-0.40
TPB,2021-07-12,09:29:00,36.40,"22,500",-0.60
SSI,2021-07-12,09:29:00,50.80,"195,500",-1.80
POW,2021-07-12,09:29:00,10.65,"28,900",-0.15
HSG,2021-07-12,09:29:00,33.50,"87,100",-1.95
OIL,2021-07-12,09:29:00,12.60,"1,100",-0.20
DXG,2021-07-12,09:29:00,22.40,"76,500",-0.60
SBT,2021-07-12,09:29:00,17.90,"16,300",-0.20
HCM,2021-07-12,09:29:00,46.20,"100,200",-1.90
IDC,2021-07-12,09:30:00,33.30,"10,500",-0.70
DCM,2021-07-12,09:29:00,16.30,"20,800",-0.75
PVI,2021-07-12,09:29:00,37.50,100,-0.50
DPM,2021-07-12,09:29:00,19.85,"14,300",-0.55
ITA,2021-07-12,09:29:00,5.92,"20,900",-0.19
IJC,2021-07-12,09:29:00,25.50,"46,900",-1.25
SCR,2021-07-12,09:29:00,9.15,"127,300",-0.25
HBC,2021-07-12,09:29:00,13,"273,400",-0.45
CEO,2021-07-12,09:30:00,8.20,300,-0.30
FRT,2021-07-12,09:29:00,29.15,"6,500",0.05
PET,2021-07-12,09:29:00,22,"84,800",-0.60
CKG,2021-07-12,09:29:00,16.40,"30,900",0
PVC,2021-07-12,09:30:00,9.20,100,-0.20
VPB,2021-07-09,09:30:00,68.60,"153,000",-0.70
TCB,2021-07-09,09:30:00,56.40,"185,700",-0.20
HPG,2021-07-09,09:30:00,48.85,"186,500",-0.15
GVR,2021-07-09,09:30:00,33.30,"30,800",-0.65
ACB,2021-07-09,09:30:00,35.95,"11,200",-0.25
MBB,2021-07-09,09:30:00,42.10,"170,500",0
BSR,2021-07-09,09:30:00,18,"62,400",-0.40
STB,2021-07-09,09:30:00,30.10,"49,000",-0.10
SHB,2021-07-09,09:30:00,28.30,"92,500",0.20
TPB,2021-07-09,09:30:00,37.80,"19,400",0.05
SSI,2021-07-09,09:30:00,54.10,"39,600",-0.30
POW,2021-07-09,09:30:00,11.30,"58,600",-0.05
HSG,2021-07-09,09:30:00,37.10,"32,700",0
OIL,2021-07-09,09:30:00,13.10,"35,700",-0.30
DXG,2021-07-09,09:30:00,22.70,"17,300",-0.25
SBT,2021-07-09,09:30:00,19.10,"23,000",-0.20
HCM,2021-07-09,09:30:00,50.10,"29,200",-0.50
IDC,2021-07-09,09:30:00,34.80,"2,100",-0.20
DCM,2021-07-09,09:30:00,17.65,"12,000",0
PVI,2021-07-09,09:30:00,38.80,700,-0.20
DPM,2021-07-09,09:30:00,20.70,"4,700",-0.05
ITA,2021-07-09,09:30:00,6.58,"16,500",0.03
IJC,2021-07-09,09:30:00,28.70,100,0
SCR,2021-07-09,09:30:00,10.05,"25,500",-0.05
HBC,2021-07-09,09:30:00,14.15,"13,000",0.15
CEO,2021-07-09,09:30:00,8.80,"10,000",-0.20
FRT,2021-07-09,09:30:00,30.05,"25,600",1.15
PET,2021-07-09,09:30:00,23,"12,700",0.35
CKG,2021-07-09,09:29:00,17.10,"45,900",-0.05
PVC,2021-07-09,09:28:00,9.70,500,0
VPB,2021-07-08,09:30:00,70.90,"211,600",0.20
TCB,2021-07-08,09:30:00,56.70,"310,000",0.10
HPG,2021-07-08,09:30:00,49.90,"173,900",0
GVR,2021-07-08,09:30:00,34.70,"33,900",0.05
ACB,2021-07-08,09:30:00,36.65,"150,400",0.10
MBB,2021-07-08,09:30:00,42.55,"224,400",0.45
BSR,2021-07-08,09:31:00,18.60,"222,000",0.10
STB,2021-07-08,09:30:00,31.05,"207,700",0
SHB,2021-07-08,09:30:00,29.30,"278,000",-0.40
TPB,2021-07-08,09:30:00,37.35,"16,900",-0.15
SSI,2021-07-08,09:30:00,55.10,"128,400",0.60
POW,2021-07-08,09:30:00,11.50,"50,300",0.10
HSG,2021-07-08,09:30:00,39,"119,800",0.10
OIL,2021-07-08,09:31:00,13.50,"39,300",0.20
DXG,2021-07-08,09:30:00,22.50,"63,000",0.60
SBT,2021-07-08,09:30:00,19.25,"9,200",-0.15
HCM,2021-07-08,09:30:00,51.70,"48,900",0.70
IDC,2021-07-08,09:30:00,35.40,"36,800",-0.60
DCM,2021-07-08,09:30:00,18.15,"21,100",0.20
PVI,2021-07-08,09:30:00,39.60,100,0.70
DPM,2021-07-08,09:30:00,21.40,"2,100",-0.10
ITA,2021-07-08,09:30:00,6.71,"109,600",0.11
IJC,2021-07-08,09:30:00,28.80,"9,200",0.30
SCR,2021-07-08,09:30:00,10.50,"197,800",0.30
HBC,2021-07-08,09:30:00,14.30,"11,800",0.30
CEO,2021-07-08,09:30:00,9.10,"104,900",0.20
FRT,2021-07-08,09:30:00,29.60,"84,900",0.35
PET,2021-07-08,09:30:00,22.40,"10,000",0.25
CKG,2021-07-08,09:30:00,17.05,"20,200",-0.25
